a,da,T,d,K,e,k,step,field,tau
1.35,0,0.35,0.01,1.52,0.69,0.5,32,346,136
1.35,0,0.35,0.01,1.52,0.69,0.5,20,346,136
1.35,0,0.35,0.01,1.52,0.69,0.5,32,346,200
1.35,0,0.35,0.01,1.52,0.69,0.5,20,346.1,200
0.4,0,0.2,0.01,2.96,0.01,1.64,32,346,136
0.4,0,0.2,0.01,2.96,0.01,1.64,20,346,136
0.4,0,0.2,0.01,2.96,0.01,1.64,32,346,200
0.4,0,0.2,0.01,2.96,0.01,1.64,20,346.1,200
2.1,0.25,0.2,0.01,1.44,0.25,0.4,20,344.4,136
1.8,0,0.4,0.01,3.72,0.51,2.82,16,345,120
1.8,0,0.4,0.01,3.72,0.51,2.82,16,345,152
1.8,0,0.4,0.01,3.72,0.51,2.82,16,345,260
6.1,0,0.8,0.01,2.4,0.01,1.08,32,358,136
0.32,0,0.2,0.01,1.32,0.01,0.33,32,358,136
0.5,0,0.2,0.01,3.04,0.01,1.73,32,358,136
6.3,0,0.45,0.01,0.01,0.01,0,24,343.6,256
5,0,0.01,0.01,2.32,0.01,1.01,24,340.5,104
5,0,0.01,0.01,2.32,0.01,1.01,24,346.6,104
5,0,0.01,0.01,2.32,0.01,1.01,24,340.5,256
5,0,0.01,0.01,2.32,0.01,1.01,24,346,256
